Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
73,30,3,2800,1000,32,0,15.6,2560,5.07
74,30,1,1300,512,16,0,16.1,1080,5.47
75,30,1,1100,512,16,0,15.6,1080,4.96
85,30,1,1020,512,16,0,15.6,1080,3.46
87,30,1,1590,1000,32,1,13.4,1200,2.87
88,30,3,1940,1000,16,0,15.6,1080,6.39
93,30,3,1275,512,16,0,15.6,1080,5.84
94,30,1,850,512,8,0,15.6,1080,5.67
96,30,1,1110,512,16,0,15.6,1080,5.67
98,30,1,870,512,16,0,15.6,1080,5.67
126,30,3,870,512,8,0,15.6,1080,4.96
129,30,1,960,512,16,0,15.6,1080,4.96
130,30,1,850,512,8,0,15.6,1080,4.96
146,30,1,1255,1000,16,0,16.1,1080,5.11
149,30,1,1005,512,8,0,15.6,1080,4.63
150,30,3,745,512,8,0,15.6,1080,5.07
152,30,1,1410,1000,16,0,14,2560,3.53
160,30,3,2200,1000,16,0,15.6,2560,5.45
167,30,3,1060,512,8,0,15.6,1080,4.96
180,30,1,1410,1000,16,0,15.6,1080,4.63
181,30,3,3200,1000,32,0,15.6,2560,5.07
182,30,1,1395,512,16,0,15.6,1080,4.63
184,30,1,1089,512,16,0,15.6,1080,4.63
185,30,1,1410,1000,16,0,15.6,1080,4.63
187,30,3,2800,2000,32,0,15.6,2560,5.07
189,30,1,1165,1000,8,0,14,2880,3.2
205,30,1,842,512,8,0,16.1,1080,3.11
209,30,3,982,512,8,0,16.1,1080,3.77
220,30,3,920,512,8,0,15.6,1080,4.96
223,30,1,1410,512,16,0,15.6,1080,5.67
224,30,3,859,512,16,0,15.6,1080,5.84
225,30,3,1210,512,16,0,15.6,1080,5.84
226,30,3,1165,512,16,0,15.6,1080,4.96
227,30,3,1210,512,16,0,15.6,1080,5.29
267,30,3,1399,1000,16,0,15.6,1080,5.07
268,30,3,1850,1000,32,0,15.6,1080,5.07
273,30,1,799,512,16,0,17.3,1080,5.73
280,30,3,1510,1000,16,0,15.6,2560,4.96
288,30,1,1590,1000,16,0,15.6,1080,4.19
297,30,1,1305,1000,16,0,16,3842,4.3
318,30,3,1640,1000,16,0,16.1,1080,5.11
327,30,1,979,512,16,0,15.6,1080,4.63
329,30,1,1430,1000,16,0,15.6,2560,5.07
334,30,1,1385,1000,16,0,14,2560,6.39
419,30,3,1399,1000,16,0,15.6,1080,5.07
420,30,1,720,512,8,0,15.6,1080,4.37
426,30,1,799,512,16,0,15.6,1080,4.37
428,30,3,1050,512,16,0,15.6,1080,4.92
430,30,3,1171,1000,16,0,16.1,2560,5.11
431,30,1,850,512,8,0,15.6,1080,4.37
436,30,1,1099,1000,16,0,14,2880,3.2
440,30,3,1799,1000,16,0,16,2566,4.85
457,30,1,1100,512,16,0,14,2880,3.09
463,30,1,745,512,8,0,15.6,1080,4.96
476,30,3,849,512,16,0,15.6,1080,4.41
483,30,1,709,512,8,0,15.6,1080,5.29
488,30,1,1399,1000,16,0,14,2560,3.75
495,30,1,813,1000,8,0,14,2560,3.53
496,30,1,1465,1000,16,0,15.6,1080,5.29
498,30,1,769,1000,8,0,14,1080,3.53
508,30,3,629,1000,8,0,15.6,1080,4.17
509,30,1,925,512,8,0,15.6,1080,4.63
510,30,1,809,256,16,0,15.6,1080,5.29
523,30,1,1005,512,8,0,15.6,1080,5.29
524,30,1,1470,1000,16,0,16.1,2560,4.92
527,30,3,1650,1000,16,0,15.6,1080,5.29
536,30,1,834,512,16,0,15.6,1080,5.29
545,30,3,1099,512,16,0,15.6,1080,5.29
551,30,1,1385,1000,16,1,13.4,1200,2.87
554,30,1,1530,1000,32,1,13.4,1200,2.87
555,30,1,1179,1000,16,0,15.6,1080,4.63
556,30,3,1685,1000,16,0,16,2566,4.19
558,30,1,1569,1000,32,1,13.4,3842,2.87
559,30,3,1590,1000,16,0,16,1200,4.19
560,30,1,751,512,8,0,15.6,1080,5.29
561,30,3,800,512,8,0,15.6,1080,4.96
563,30,3,1715,1000,16,0,16,2560,3.9
568,30,1,745,256,8,0,15.6,1080,5.07
571,30,1,654,512,8,0,15.6,1080,5.16
574,30,3,925,512,8,0,15.6,1080,4.92
582,30,3,989,512,16,0,15.6,1080,4.92
592,30,3,1179,512,16,0,15.6,1080,5.29
593,30,3,800,512,8,0,15.6,1080,4.96
598,30,3,959,512,16,0,15.6,2560,5.07
600,30,3,959,512,16,0,15.6,2560,5.07
610,30,1,919,1000,8,0,15.6,1080,5.07
611,30,1,768,512,8,0,15.6,1080,5.07
617,30,1,1590,1000,16,0,15.6,1080,5.07
623,30,3,925,1000,8,0,15.6,1080,5.07
624,30,3,719,512,8,0,17.3,1080,5.73
625,30,3,1275,1000,16,0,15.6,1080,5.07
626,30,3,629,256,8,0,15.6,1080,4.72
627,30,3,715,256,8,0,15.6,1080,4.72
628,30,3,653,512,8,0,15.6,1080,4.72
630,30,3,689,256,16,0,15.6,1080,4.72
631,30,3,1165,512,16,0,17.3,1080,5.73
632,30,1,801,512,16,0,17.3,1080,5.73
633,30,1,1399,1000,16,0,15.6,2560,4.19
634,30,3,629,512,16,0,15.6,1080,4.72
641,30,1,1199,1000,16,0,15.6,1080,5.07
642,30,3,850,512,8,0,15.6,1080,4.1
643,30,3,830,1000,16,0,15.6,1080,4.1
646,30,3,849,1000,16,0,15.6,1080,4.96
647,30,3,799,512,16,0,15.6,1080,4.1
649,30,1,1165,1000,16,0,15.6,1080,5.18
652,30,3,1129,512,16,0,15.6,2560,5.07
653,30,3,830,1000,8,0,17.3,1080,5.73
659,30,3,800,1000,8,0,15.6,1080,4.85
660,30,3,889,512,8,0,15.6,1080,4.96
661,30,3,2080,1000,16,0,15.6,2560,4.63
662,30,1,1590,1000,16,0,15.6,1080,5.07
663,30,1,829,512,8,0,15.6,1080,4.63
666,30,1,769,512,8,0,15.6,1080,4.63
668,30,3,849,512,16,0,15.6,1080,4.92
669,30,3,859,512,16,0,15.6,1080,4.41
675,30,3,1084,512,16,0,15.6,1080,4.96
676,30,3,1179,1000,16,0,17.3,1080,6.39
677,30,3,1590,1000,16,0,15.6,2560,5.07
678,30,1,1685,1000,16,0,15.6,2560,5.51
679,30,1,715,512,8,0,15.6,1080,4.37
680,30,1,709,512,8,0,15.6,1080,4.63
686,30,3,679,256,8,0,15.6,1080,5.03
699,30,1,850,512,8,0,15.6,1080,5.18
703,30,3,765,512,8,0,15.6,1080,4.85
712,30,3,1410,1000,16,0,15.6,1080,4.96
717,30,1,1419,1000,16,0,15.6,2560,4.19
728,30,1,1099,1000,16,0,15.6,1080,5.22
732,30,1,1581,1000,16,0,15.6,2560,5.22
735,30,1,2399,1000,32,1,13.4,3842,2.87
737,30,1,886,512,16,0,15.6,1080,4.37
739,30,1,765,512,8,0,15.6,1080,4.85
743,30,3,654,512,8,0,15.6,1080,5.07
744,30,1,870,256,8,0,15.6,1080,5.29
747,30,1,1019,1000,16,0,15.6,1080,4.63
760,30,1,652,512,8,0,15.6,1080,4.37
763,30,3,1099,1000,8,0,15.6,1080,5.07
